material name     |     G vrh     |     K vrh     |     Vicker's Hardness
C1O2.5Sr4.5    57.2200648463011GPa   91.72653353111134GPa   9.285935025614268GPa
C1O2.5Zn4.5    72.0917255781159GPa   143.48727325578818GPa   7.918104623161662GPa
C1O3Re2.5    122.76155494394347GPa   199.54100591704383GPa   15.892822740826968GPa
C1O3W2.5    129.76290894291373GPa   214.01449177202082GPa   16.18627776869788GPa
C2.5O6V1    91.59373469097734GPa   165.62053685387488GPa   11.052086601833093GPa
C3O4.5As1    82.48851008119324GPa   189.47942055301232GPa   6.989710917832239GPa
C3O4.5P1    87.47717047106624GPa   158.36901502488195GPa   10.659697730879405GPa
Ca1.5As2Bi1    33.145225986578936GPa   65.15878052702456GPa   4.031054664793486GPa
Ca1.5Se5I1    33.766817617503534GPa   63.587199009901276GPa   4.474594456996116GPa
Ca1Se1.5Te2.5    30.1850468513942GPa   53.29577632026669GPa   4.548038949136507GPa
Ca2.5Se4.5Ir1    41.27161833366017GPa   79.93002928023249GPa   5.134440906405203GPa
Ca2Se4.5Br1    36.41533991845608GPa   67.55699539886312GPa   4.95004854198429GPa
Ca2Te5.5I1    28.599160480984178GPa   57.25074083064071GPa   3.314313067516892GPa
Cl1.5Br2.5Cs1    21.528765174730843GPa   51.4411586355827GPa   1.347553995486459GPa
Cl1.5Br2.5Rb1    28.4710821660277GPa   56.31118496195527GPa   3.387239655671708GPa
Cl1.5I1.5Tl1    23.638168062010255GPa   51.65374749264797GPa   2.0979209361184132GPa
Cl1.5K1Br2.5    38.56318074221676GPa   58.604664101994175GPa   7.382039857562022GPa
Cl1.5Sb1.5W1    46.81659047180352GPa   146.48248459426614GPa   1.995884009554338GPa
Cl1.5Sb1Bi1.5    32.925179762358056GPa   62.442098290072956GPa   4.3043780992629035GPa
Cl1Br6Sr1.5    38.67923604685894GPa   80.34697054793264GPa   4.215050348529453GPa
Cl1Ca1.5I6    27.5867218907363GPa   63.901119356184715GPa   2.2121122510911464GPa
Cl1Ca2.5Se6    45.28584241801929GPa   71.52119263828277GPa   7.90323674629906GPa
Cl1Ca2Te4.5    36.4213713811912GPa   59.32621146475179GPa   6.25788436953186GPa
Cl1Se3.5Cs2    11.548573134639682GPa   46.71920526065432GPa   -1.3689865562633698GPa
Cl1Se3.5Rb2    12.232644132509613GPa   46.52974324276778GPa   -1.1870604324903316GPa
Cl1Se4.5Pu2    33.33902296852968GPa   61.46433791314601GPa   4.605418667419458GPa
Cl1Se5.5Nd2    39.3490688900607GPa   68.61617629686933GPa   5.943776814672868GPa
Cl1Se5.5Sm2    39.48674390513552GPa   66.70554768101375GPa   6.301062896364421GPa
Cl1Se6.5Dy2    39.991891278732304GPa   84.11397545623798GPa   4.250951650760029GPa
Cl1Se6.5Tb2    40.24284614264727GPa   77.61059696446111GPa   5.054731082778909GPa
Cl1Se6Ba2.5    36.53689198297718GPa   71.02675366623656GPa   4.541543777411009GPa
Cl1Se6Sr2.5    42.13990277848022GPa   71.51178522381002GPa   6.610485422247409GPa
Cl1Sr2Te4.5    31.18134638949573GPa   60.7012793689878GPa   3.8623679961005886GPa
Cl1Te6.5Dy2    44.42562514524761GPa   69.40174233176826GPa   7.920022544499709GPa
Cl1Te6.5Er2    45.48808030508564GPa   69.23855263394626GPa   8.413876314308425GPa
Cl1Te6.5Eu2    36.7143703422637GPa   63.82309379360332GPa   5.619721541210875GPa
Cl1Te6.5Nd2    44.265029843865456GPa   66.47469400017566GPa   8.411919672849384GPa
Cl1Te6.5Pr2    42.58074397453154GPa   65.74431725682908GPa   7.799536683301106GPa
Cl1Zr1.5Sn1.75    44.6928336438753GPa   103.99497405080209GPa   3.875322014980525GPa
Cl2.5Cr1As1.5    46.598677227355374GPa   133.4013024138255GPa   2.5282587558110174GPa
Cl2Ge2.5W1    53.70665916666501GPa   130.50845387373766GPa   4.276661344563975GPa
Cl2Sn1Np1.5    29.313502150553894GPa   51.632035599717746GPa   4.44077724229101GPa
Cl2Sn1U1.5    36.85116308496346GPa   58.32293647001566GPa   6.640948743098948GPa
Cl3.5V1Hg1.5    42.072515631181915GPa   79.49714011188297GPa   5.4671268783543585GPa
Cl3Ga1Sn4.5    27.34446561801613GPa   69.81239822730734GPa   1.6273758078207807GPa
Cl3Ge1.5Er1    53.10829393835665GPa   88.2097829323179GPa   8.283278791072934GPa
